,user,artist_name,play_count,artist_url
92,oxonio,Lutz Kirchhof,265,https://www.last.fm/music/Lutz+Kirchhof

93,oxonio,Easter,262,https://www.last.fm/music/Easter

94,oxonio,Beyond Dawn,260,https://www.last.fm/music/Beyond+Dawn

95,oxonio,Austra,252,https://www.last.fm/music/Austra

96,oxonio,Maria Minerva,244,https://www.last.fm/music/Maria+Minerva

97,oxonio,"Marie Nishiyama, Corina Marti",243,"https://www.last.fm/music/Marie+Nishiyama,+Corina+Marti"

98,oxonio,Frank Bridge,239,https://www.last.fm/music/Frank+Bridge

99,oxonio,Erasure,233,https://www.last.fm/music/Erasure

100,juno_fm,Casiopea,4711,https://www.last.fm/music/Casiopea

101,juno_fm,The Beatles,902,https://www.last.fm/music/The+Beatles

102,juno_fm,Stevie Wonder,740,https://www.last.fm/music/Stevie+Wonder

103,juno_fm,小野リサ,645,https://www.last.fm/music/%E5%B0%8F%E9%87%8E%E3%83%AA%E3%82%B5

104,juno_fm,m-flo,531,https://www.last.fm/music/m-flo

105,juno_fm,Various Artists,513,https://www.last.fm/music/Various+Artists

106,juno_fm,Berlitz,506,https://www.last.fm/music/Berlitz

107,juno_fm,Incognito,484,https://www.last.fm/music/Incognito

108,juno_fm,Mercedes-Benz Music Compiletion,408,https://www.last.fm/music/Mercedes-Benz+Music+Compiletion

109,juno_fm,BONNIE PINK,387,https://www.last.fm/music/BONNIE+PINK

110,juno_fm,Mr.Children,356,https://www.last.fm/music/Mr.Children

111,juno_fm,Maroon 5,335,https://www.last.fm/music/Maroon+5

112,juno_fm,UA,328,https://www.last.fm/music/UA

113,juno_fm,Jamiroquai,309,https://www.last.fm/music/Jamiroquai

114,juno_fm,Sergio Mendes,298,https://www.last.fm/music/+noredirect/Sergio+Mendes

115,juno_fm,スガシカオ,280,https://www.last.fm/music/%E3%82%B9%E3%82%AC%E3%82%B7%E3%82%AB%E3%82%AA

116,juno_fm,Bei Xu,263,https://www.last.fm/music/Bei+Xu

